,reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,ec_list
2067,R01900_v1,forward,KEGG (Modified),4Fe4S,C00311 + Z00002 => C00417 + C00001 + Z00002,C00311 + Z00002,C00417 + C00001 + Z00002,0.0,0.0,0.0,4.2.1.3
8375,R10553_v1,reverse,KEGG (Modified),"Co, Ni",C05726 + C00033 + Z00006 + C05726 + C00033 + Z00034 => C05727 + C00001 + Z00006 + C05727 + C00001 + Z00034,C05726 + C00033 + Z00006 + C05726 + C00033 + Z00034,C05727 + C00001 + Z00006 + C05727 + C00001 + Z00034,0.0,0.0,0.0,
8374,R10553_v1,forward,KEGG (Modified),"Co, Ni",C05727 + C00001 + Z00006 + C05727 + C00001 + Z00034 => C05726 + C00033 + Z00006 + C05726 + C00033 + Z00034,C05727 + C00001 + Z00006 + C05727 + C00001 + Z00034,C05726 + C00033 + Z00006 + C05726 + C00033 + Z00034,0.0,0.0,0.0,
3798,R03804,reverse,KEGG,,C02028 + C00014 => C04131 + C00001,C02028 + C00014,C04131 + C00001,0.0,0.0,0.0,
3797,R03804,forward,KEGG,,C04131 + C00001 => C02028 + C00014,C04131 + C00001,C02028 + C00014,0.0,0.0,0.0,
3794,R03800_v1,reverse,KEGG (Modified),Zn,C03860 + C00014 + Z00054 => C02010 + C00001 + Z00054,C03860 + C00014 + Z00054,C02010 + C00001 + Z00054,0.0,0.0,0.0,
3793,R03800_v1,forward,KEGG (Modified),Zn,C02010 + C00001 + Z00054 => C03860 + C00014 + Z00054,C02010 + C00001 + Z00054,C03860 + C00014 + Z00054,0.0,0.0,0.0,
8367,R10546_v1,reverse,KEGG (Modified),Mg,C20674 + C00009 + Z00029 => C03998 + C00001 + Z00029,C20674 + C00009 + Z00029,C03998 + C00001 + Z00029,0.0,0.0,0.0,
8366,R10546_v1,forward,KEGG (Modified),Mg,C03998 + C00001 + Z00029 => C20674 + C00009 + Z00029,C03998 + C00001 + Z00029,C20674 + C00009 + Z00029,0.0,0.0,0.0,
8363,R10538_v1,forward,KEGG (Modified),Zn,2C00001 + C19033 + Z00054 => 2C00283 + C00011 + Z00054,2C00001 + C19033 + Z00054,2C00283 + C00011 + Z00054,0.0,0.0,0.0,
8296,R10443_v4,forward,KEGG (Modified),M2,2C00001 + C00201 + Z00069 => 2C00009 + C01117 + Z00069,2C00001 + C00201 + Z00069,2C00009 + C01117 + Z00069,0.0,0.0,0.0,
8295,R10443_v3,forward,KEGG (Modified),Mg,2C00001 + C00201 + Z00029 => 2C00009 + C01117 + Z00029,2C00001 + C00201 + Z00029,2C00009 + C01117 + Z00029,0.0,0.0,0.0,
8294,R10443_v2,forward,KEGG (Modified),Ca,2C00001 + C00201 + Z00055 => 2C00009 + C01117 + Z00055,2C00001 + C00201 + Z00055,2C00009 + C01117 + Z00055,0.0,0.0,0.0,
8293,R10443_v1,forward,KEGG (Modified),Mn,2C00001 + C00201 + Z00030 => 2C00009 + C01117 + Z00030,2C00001 + C00201 + Z00030,2C00009 + C01117 + Z00030,0.0,0.0,0.0,
8292,R10442_v4,forward,KEGG (Modified),M2,C00454 + C00001 + Z00069 => C01117 + C00009 + Z00069,C00454 + C00001 + Z00069,C01117 + C00009 + Z00069,0.0,0.0,0.0,
8291,R10442_v3,forward,KEGG (Modified),Mg,C00454 + C00001 + Z00029 => C01117 + C00009 + Z00029,C00454 + C00001 + Z00029,C01117 + C00009 + Z00029,0.0,0.0,0.0,
8290,R10442_v2,forward,KEGG (Modified),Ca,C00454 + C00001 + Z00055 => C01117 + C00009 + Z00055,C00454 + C00001 + Z00055,C01117 + C00009 + Z00055,0.0,0.0,0.0,
8289,R10442_v1,forward,KEGG (Modified),Mn,C00454 + C00001 + Z00030 => C01117 + C00009 + Z00030,C00454 + C00001 + Z00030,C01117 + C00009 + Z00030,0.0,0.0,0.0,
8247,R10401,reverse,KEGG,,C20507 + C00033 => C20505 + C00001,C20507 + C00033,C20505 + C00001,0.0,0.0,0.0,
8246,R10401,forward,KEGG,,C20505 + C00001 => C20507 + C00033,C20505 + C00001,C20507 + C00033,0.0,0.0,0.0,
8243,R10398,forward,KEGG,,C20506 + C00001 => C20508 + C00033,C20506 + C00001,C20508 + C00033,0.0,0.0,0.0,
8199,R10346_v1,reverse,KEGG (Modified),Zn,2C20569 + Z00054 => C20568 + C00001 + Z00054,2C20569 + Z00054,C20568 + C00001 + Z00054,0.0,0.0,0.0,
8198,R10346_v1,forward,KEGG (Modified),Zn,C20568 + C00001 + Z00054 => 2C20569 + Z00054,C20568 + C00001 + Z00054,2C20569 + Z00054,0.0,0.0,0.0,
8197,R10345_v1,forward,KEGG (Modified),"Fe, Zn",C20567 + C00001 + Z00015 + Z00054 => C20566 + Z00015 + Z00054,C20567 + C00001 + Z00015 + Z00054,C20566 + Z00015 + Z00054,0.0,0.0,0.0,
8376,R10553_v2,forward,KEGG (Modified),"Co, Zn",C05727 + C00001 + Z00054 + C05727 + C00001 + Z00006 => C05726 + C00033 + Z00054 + C05726 + C00033 + Z00006,C05727 + C00001 + Z00054 + C05727 + C00001 + Z00006,C05726 + C00033 + Z00054 + C05726 + C00033 + Z00006,0.0,0.0,0.0,
8377,R10553_v2,reverse,KEGG (Modified),"Co, Zn",C05726 + C00033 + Z00054 + C05726 + C00033 + Z00006 => C05727 + C00001 + Z00054 + C05727 + C00001 + Z00006,C05726 + C00033 + Z00054 + C05726 + C00033 + Z00006,C05727 + C00001 + Z00054 + C05727 + C00001 + Z00006,0.0,0.0,0.0,
8378,R10553_v3,forward,KEGG (Modified),Zn,C05727 + C00001 + Z00054 => C05726 + C00033 + Z00054,C05727 + C00001 + Z00054,C05726 + C00033 + Z00054,0.0,0.0,0.0,
8379,R10553_v3,reverse,KEGG (Modified),Zn,C05726 + C00033 + Z00054 => C05727 + C00001 + Z00054,C05726 + C00033 + Z00054,C05727 + C00001 + Z00054,0.0,0.0,0.0,
4435,R04587_v2,forward,KEGG (Modified),Zn,C04738 + C00001 + Z00054 => C06022 + C00033 + Z00054,C04738 + C00001 + Z00054,C06022 + C00033 + Z00054,0.0,0.0,0.0,
4436,R04587_v2,reverse,KEGG (Modified),Zn,C06022 + C00033 + Z00054 => C04738 + C00001 + Z00054,C06022 + C00033 + Z00054,C04738 + C00001 + Z00054,0.0,0.0,0.0,
1248,R01082_v1,forward,KEGG (Modified),4Fe4S,C00149 + Z00002 => C00122 + C00001 + Z00002,C00149 + Z00002,C00122 + C00001 + Z00002,0.0,0.0,0.0,4.2.1.2
1249,R01082_v1,forward,KEGG (Modified),4Fe4S,C00149 + Z00002 => C00122 + C00001 + Z00002,C00149 + Z00002,C00122 + C00001 + Z00002,0.0,0.0,0.0,4.2.1.2
1250,R01082_v1,reverse,KEGG (Modified),4Fe4S,C00122 + C00001 + Z00002 => C00149 + Z00002,C00122 + C00001 + Z00002,C00149 + Z00002,0.0,0.0,0.0,4.2.1.2
1251,R01082_v1,reverse,KEGG (Modified),4Fe4S,C00122 + C00001 + Z00002 => C00149 + Z00002,C00122 + C00001 + Z00002,C00149 + Z00002,0.0,0.0,0.0,4.2.1.2
8599,R10815_v3,reverse,KEGG (Modified),Mg,C20183 + C20863 + Z00029 => C02339 + C00001 + Z00029,C20183 + C20863 + Z00029,C02339 + C00001 + Z00029,0.0,0.0,0.0,
8598,R10815_v2,reverse,KEGG (Modified),Mn,C20183 + C20863 + Z00030 => C02339 + C00001 + Z00030,C20183 + C20863 + Z00030,C02339 + C00001 + Z00030,0.0,0.0,0.0,
8597,R10815_v1,reverse,KEGG (Modified),Co,C20183 + C20863 + Z00006 => C02339 + C00001 + Z00006,C20183 + C20863 + Z00006,C02339 + C00001 + Z00006,0.0,0.0,0.0,
8596,R10814,forward,KEGG,,C20864 + C00001 => C02100 + C00009,C20864 + C00001,C02100 + C00009,0.0,0.0,0.0,
4473,R04641,forward,KEGG,,C04905 + C00001 => C04908 + C00014,C04905 + C00001,C04908 + C00014,0.0,0.0,0.0,
3745,R03739,forward,KEGG,,C02080 + C00001 => C01853 + C00011,C02080 + C00001,C01853 + C00011,0.0,0.0,0.0,
4474,R04641,reverse,KEGG,,C04908 + C00014 => C04905 + C00001,C04908 + C00014,C04905 + C00001,0.0,0.0,0.0,
3844,R03874_v1,forward,KEGG (Modified),Zn,C03303 + Z00054 => C02179 + C00048 + Z00054,C03303 + Z00054,C02179 + C00048 + Z00054,0.0,0.0,0.0,
8564,R10776_v4,forward,KEGG (Modified),M2,C00676 + C00001 + Z00069 => C02269 + C00009 + Z00069,C00676 + C00001 + Z00069,C02269 + C00009 + Z00069,0.0,0.0,0.0,
8563,R10776_v3,forward,KEGG (Modified),Mg,C00676 + C00001 + Z00029 => C02269 + C00009 + Z00029,C00676 + C00001 + Z00029,C02269 + C00009 + Z00029,0.0,0.0,0.0,
8562,R10776_v2,forward,KEGG (Modified),Cu,C00676 + C00001 + Z00070 => C02269 + C00009 + Z00070,C00676 + C00001 + Z00070,C02269 + C00009 + Z00070,0.0,0.0,0.0,
8561,R10776_v1,forward,KEGG (Modified),Co,C00676 + C00001 + Z00006 => C02269 + C00009 + Z00006,C00676 + C00001 + Z00006,C02269 + C00009 + Z00006,0.0,0.0,0.0,
8551,R10766_v1,reverse,KEGG (Modified),Fe,C20837 + Z00015 => C20832 + Z00015,C20837 + Z00015,C20832 + Z00015,0.0,0.0,0.0,
8550,R10766_v1,forward,KEGG (Modified),Fe,C20832 + Z00015 => C20837 + Z00015,C20832 + Z00015,C20837 + Z00015,0.0,0.0,0.0,
8546,R10761_v1,reverse,KEGG (Modified),Fe,C20833 + C00001 + Z00015 => C20832 + Z00015,C20833 + C00001 + Z00015,C20832 + Z00015,0.0,0.0,0.0,
4522,R04727,forward,KEGG,,C02998 + C00001 => C01890 + C00033,C02998 + C00001,C01890 + C00033,0.0,0.0,0.0,
4523,R04727,reverse,KEGG,,C01890 + C00033 => C02998 + C00001,C01890 + C00033,C02998 + C00001,0.0,0.0,0.0,
4546,R04760,forward,KEGG,,C05291 + C00028 => C05296 + C00030,C05291 + C00028,C05296 + C00030,0.0,0.0,0.0,
3845,R03874_v1,reverse,KEGG (Modified),Zn,C02179 + C00048 + Z00054 => C03303 + Z00054,C02179 + C00048 + Z00054,C03303 + Z00054,0.0,0.0,0.0,
8106,R10235,forward,KEGG,,C01344 + C00001 => C06196 + C00009,C01344 + C00001,C06196 + C00009,0.0,0.0,0.0,
8103,R10232_v1,reverse,KEGG (Modified),Zn,C00868 + C00014 + Z00054 => C17325 + C00001 + Z00054,C00868 + C00014 + Z00054,C17325 + C00001 + Z00054,0.0,0.0,0.0,
8102,R10231_v1,reverse,KEGG (Modified),"Mg, Zn",C20458 + C00014 + Z00029 + Z00054 => C20459 + C00001 + Z00029 + Z00054,C20458 + C00014 + Z00029 + Z00054,C20459 + C00001 + Z00029 + Z00054,0.0,0.0,0.0,
7555,R09661_v1,reverse,KEGG (Modified),Ni,C19789 + C00014 + Z00034 => C19788 + C00001 + Z00034,C19789 + C00014 + Z00034,C19788 + C00001 + Z00034,0.0,0.0,0.0,
7554,R09661_v1,forward,KEGG (Modified),Ni,C19788 + C00001 + Z00034 => C19789 + C00014 + Z00034,C19788 + C00001 + Z00034,C19789 + C00014 + Z00034,0.0,0.0,0.0,
7541,R09649,reverse,KEGG,,C19783 + C00014 => C19782 + C00001,C19783 + C00014,C19782 + C00001,0.0,0.0,0.0,
7540,R09649,forward,KEGG,,C19782 + C00001 => C19783 + C00014,C19782 + C00001,C19783 + C00014,0.0,0.0,0.0,
7538,R09647,reverse,KEGG,,C19780 + C00014 => C19778 + C00001,C19780 + C00014,C19778 + C00001,0.0,0.0,0.0,
7537,R09647,forward,KEGG,,C19778 + C00001 => C19780 + C00014,C19778 + C00001,C19780 + C00014,0.0,0.0,0.0,
7411,R09509,reverse,KEGG,,C18046 + C00011 => C18047 + C00080,C18046 + C00011,C18047 + C00080,0.0,0.0,0.0,
7410,R09509,forward,KEGG,,C18047 + C00080 => C18046 + C00011,C18047 + C00080,C18046 + C00011,0.0,0.0,0.0,
7373,R09481,reverse,KEGG,,C00011 + C22336 => C00058 + C22335,C00011 + C22336,C00058 + C22335,0.0,0.0,0.0,
7372,R09481,forward,KEGG,,C00058 + C22335 => C00011 + C22336,C00058 + C22335,C00011 + C22336,0.0,0.0,0.0,
3636,R03593,reverse,KEGG,,C04447 + C00014 => 2C00001 + C01526,C04447 + C00014,2C00001 + C01526,0.0,0.0,0.0,
7568,R09674,forward,KEGG,,2C00001 + C19241 => 2C19806 + C19805,2C00001 + C19241,2C19806 + C19805,0.0,0.0,0.0,
3635,R03593,forward,KEGG,,2C00001 + C01526 => C04447 + C00014,2C00001 + C01526,C04447 + C00014,0.0,0.0,0.0,
4133,R04216_v1,reverse,KEGG (Modified),Mn,C00621 + C11572 + Z00030 => C04213 + C03021 + Z00030,C00621 + C11572 + Z00030,C04213 + C03021 + Z00030,0.0,0.0,0.0,
2068,R01900_v1,forward,KEGG (Modified),4Fe4S,C00311 + Z00002 => C00417 + C00001 + Z00002,C00311 + Z00002,C00417 + C00001 + Z00002,0.0,0.0,0.0,4.2.1.3
2069,R01900_v1,reverse,KEGG (Modified),4Fe4S,C00417 + C00001 + Z00002 => C00311 + Z00002,C00417 + C00001 + Z00002,C00311 + Z00002,0.0,0.0,0.0,4.2.1.3
2070,R01900_v1,reverse,KEGG (Modified),4Fe4S,C00417 + C00001 + Z00002 => C00311 + Z00002,C00417 + C00001 + Z00002,C00311 + Z00002,0.0,0.0,0.0,4.2.1.3
4825,R05170,forward,KEGG,,C06381 + C00001 => C06382 + C00014,C06381 + C00001,C06382 + C00014,0.0,0.0,0.0,
4826,R05172,forward,KEGG,,C06383 + C00001 => C06384 + C00014,C06383 + C00001,C06384 + C00014,0.0,0.0,0.0,
4827,R05172,reverse,KEGG,,C06384 + C00014 => C06383 + C00001,C06384 + C00014,C06383 + C00001,0.0,0.0,0.0,
2097,R01922,forward,KEGG,,C02290 + C00001 => C00318 + C00014 + C00080,C02290 + C00001,C00318 + C00014 + C00080,0.0,0.0,0.0,
2098,R01922,reverse,KEGG,,C00318 + C00014 + C00080 => C02290 + C00001,C00318 + C00014 + C00080,C02290 + C00001,0.0,0.0,0.0,
7248,R09221_v1,reverse,KEGG (Modified),Mn,C18304 + C01327 + Z00030 => C18303 + Z00030,C18304 + C01327 + Z00030,C18303 + Z00030,0.0,0.0,0.0,
7247,R09221_v1,forward,KEGG (Modified),Mn,C18303 + Z00030 => C18304 + C01327 + Z00030,C18303 + Z00030,C18304 + C01327 + Z00030,0.0,0.0,0.0,
4824,R05169,forward,KEGG,,2C00001 + C06381 => 2C00014 + C06384 + C00011,2C00001 + C06381,2C00014 + C06384 + C00011,0.0,0.0,0.0,
4434,R04587_v1,reverse,KEGG (Modified),Fe,C06022 + C00033 + Z00015 => C04738 + C00001 + Z00015,C06022 + C00033 + Z00015,C04738 + C00001 + Z00015,0.0,0.0,0.0,
7597,R09694_v1,forward,KEGG (Modified),"Zn, Ca",C06485 + Z00054 + C06485 + Z00055 => C19822 + C00001 + Z00054 + C19822 + C00001 + Z00055,C06485 + Z00054 + C06485 + Z00055,C19822 + C00001 + Z00054 + C19822 + C00001 + Z00055,0.0,0.0,0.0,
7599,R09694_v3,forward,KEGG (Modified),Na,C06485 + Z00033 => C19822 + C00001 + Z00033,C06485 + Z00033,C19822 + C00001 + Z00033,0.0,0.0,0.0,
8097,R10223_v1,reverse,KEGG (Modified),Zn,C20451 + C00014 + Z00054 => C17324 + C00001 + Z00054,C20451 + C00014 + Z00054,C17324 + C00001 + Z00054,0.0,0.0,0.0,
3727,R03714,forward,KEGG,,C05473 + C00028 => C01780 + C00030,C05473 + C00028,C01780 + C00030,0.0,0.0,0.0,
3723,R03708_v1,forward,KEGG (Modified),"Zn, Ca",C01770 + C00001 + Z00055 + Z00054 => C01991 + Z00055 + Z00054,C01770 + C00001 + Z00055 + Z00054,C01991 + Z00055 + Z00054,0.0,0.0,0.0,
3721,R03706_v1,reverse,KEGG (Modified),Ca,C05392 + Z00055 => C01768 + Z00055,C05392 + Z00055,C01768 + Z00055,0.0,0.0,0.0,
7975,R10092_v2,reverse,KEGG (Modified),Zn,C00011 + C00001 + Z00054 => C00288 + C00080 + Z00054,C00011 + C00001 + Z00054,C00288 + C00080 + Z00054,0.0,0.0,0.0,4.2.1.1
7974,R10092_v2,reverse,KEGG (Modified),Zn,C00011 + C00001 + Z00054 => C00288 + C00080 + Z00054,C00011 + C00001 + Z00054,C00288 + C00080 + Z00054,0.0,0.0,0.0,4.2.1.1
7973,R10092_v2,forward,KEGG (Modified),Zn,C00288 + C00080 + Z00054 => C00011 + C00001 + Z00054,C00288 + C00080 + Z00054,C00011 + C00001 + Z00054,0.0,0.0,0.0,4.2.1.1
7972,R10092_v2,forward,KEGG (Modified),Zn,C00288 + C00080 + Z00054 => C00011 + C00001 + Z00054,C00288 + C00080 + Z00054,C00011 + C00001 + Z00054,0.0,0.0,0.0,4.2.1.1
7971,R10092_v1,reverse,KEGG (Modified),Co,C00011 + C00001 + Z00006 => C00288 + C00080 + Z00006,C00011 + C00001 + Z00006,C00288 + C00080 + Z00006,0.0,0.0,0.0,4.2.1.1
7970,R10092_v1,reverse,KEGG (Modified),Co,C00011 + C00001 + Z00006 => C00288 + C00080 + Z00006,C00011 + C00001 + Z00006,C00288 + C00080 + Z00006,0.0,0.0,0.0,4.2.1.1
7969,R10092_v1,forward,KEGG (Modified),Co,C00288 + C00080 + Z00006 => C00011 + C00001 + Z00006,C00288 + C00080 + Z00006,C00011 + C00001 + Z00006,0.0,0.0,0.0,4.2.1.1
7598,R09694_v2,forward,KEGG (Modified),Mg,C06485 + Z00029 => C19822 + C00001 + Z00029,C06485 + Z00029,C19822 + C00001 + Z00029,0.0,0.0,0.0,
7968,R10092_v1,forward,KEGG (Modified),Co,C00288 + C00080 + Z00006 => C00011 + C00001 + Z00006,C00288 + C00080 + Z00006,C00011 + C00001 + Z00006,0.0,0.0,0.0,4.2.1.1
1714,R01533_v2,forward,KEGG (Modified),M2,C00202 + C00001 + Z00069 => C03113 + C16487 + Z00069,C00202 + C00001 + Z00069,C03113 + C16487 + Z00069,0.0,0.0,0.0,
4749,R05059,forward,KEGG,,C05961 + C00028 => C05962 + C00030,C05961 + C00028,C05962 + C00030,0.0,0.0,0.0,
4750,R05060,forward,KEGG,,C05963 + C00028 => C05964 + C00030,C05963 + C00028,C05964 + C00030,0.0,0.0,0.0,
7766,R09877_v2,forward,KEGG (Modified),Mg,C20176 + C00001 + Z00029 => C19968 + C00009 + Z00029,C20176 + C00001 + Z00029,C19968 + C00009 + Z00029,0.0,0.0,0.0,
7765,R09877_v1,forward,KEGG (Modified),Mn,C20176 + C00001 + Z00030 => C19968 + C00009 + Z00030,C20176 + C00001 + Z00030,C19968 + C00009 + Z00030,0.0,0.0,0.0,
7744,R09845_v1,forward,KEGG (Modified),Zn,C20120 + C00001 + Z00054 => C04506 + C00012 + Z00054,C20120 + C00001 + Z00054,C04506 + C00012 + Z00054,0.0,0.0,0.0,
7604,R09696_v1,reverse,KEGG (Modified),Zn,C19821 + C00001 + Z00054 => C06485 + Z00054,C19821 + C00001 + Z00054,C06485 + Z00054,0.0,0.0,0.0,
7603,R09696_v1,forward,KEGG (Modified),Zn,C06485 + Z00054 => C19821 + C00001 + Z00054,C06485 + Z00054,C19821 + C00001 + Z00054,0.0,0.0,0.0,
7602,R09695_v1,reverse,KEGG (Modified),Zn,C19821 + Z00054 => C19822 + Z00054,C19821 + Z00054,C19822 + Z00054,0.0,0.0,0.0,
7601,R09695_v1,forward,KEGG (Modified),Zn,C19822 + Z00054 => C19821 + Z00054,C19822 + Z00054,C19821 + Z00054,0.0,0.0,0.0,
7600,R09694_v4,forward,KEGG (Modified),M1,C06485 + Z00060 => C19822 + C00001 + Z00060,C06485 + Z00060,C19822 + C00001 + Z00060,0.0,0.0,0.0,
1713,R01533_v1,forward,KEGG (Modified),Ca,C00202 + C00001 + Z00055 => C03113 + C16487 + Z00055,C00202 + C00001 + Z00055,C03113 + C16487 + Z00055,0.0,0.0,0.0,
7245,R09217_v1,forward,KEGG (Modified),Mn,C18308 + Z00030 => C18309 + C01327 + Z00030,C18308 + Z00030,C18309 + C01327 + Z00030,0.0,0.0,0.0,
1185,R01032,reverse,KEGG,,C02635 + C00001 => C00698 + C00022 + C00014,C02635 + C00001,C00698 + C00022 + C00014,0.0,0.0,0.0,
1149,R01004,forward,KEGG,,C00621 + C00001 => C00110 + C00009,C00621 + C00001,C00110 + C00009,0.0,0.0,0.0,
581,R00479_v1,reverse,KEGG (Modified),Mg,C00042 + C00048 + Z00029 => C00311 + Z00029,C00042 + C00048 + Z00029,C00311 + Z00029,0.0,0.0,0.0,4.1.3.1
9347,R11777_v1,reverse,KEGG (Modified),Zn,C21678 + C00030 + Z00054 => C04578 + C00028 + Z00054,C21678 + C00030 + Z00054,C04578 + C00028 + Z00054,0.0,0.0,0.0,
9346,R11777_v1,forward,KEGG (Modified),Zn,C04578 + C00028 + Z00054 => C21678 + C00030 + Z00054,C04578 + C00028 + Z00054,C21678 + C00030 + Z00054,0.0,0.0,0.0,
635,R00522_v1,forward,KEGG (Modified),Mn,C00209 + Z00030 => C00058 + C00011 + Z00030,C00209 + Z00030,C00058 + C00011 + Z00030,0.0,0.0,0.0,4.1.1.2
636,R00522_v1,forward,KEGG (Modified),Mn,C00209 + Z00030 => C00058 + C00011 + Z00030,C00209 + Z00030,C00058 + C00011 + Z00030,0.0,0.0,0.0,4.1.1.2
637,R00522_v1,reverse,KEGG (Modified),Mn,C00058 + C00011 + Z00030 => C00209 + Z00030,C00058 + C00011 + Z00030,C00209 + Z00030,0.0,0.0,0.0,4.1.1.2
638,R00522_v1,reverse,KEGG (Modified),Mn,C00058 + C00011 + Z00030 => C00209 + Z00030,C00058 + C00011 + Z00030,C00209 + Z00030,0.0,0.0,0.0,4.1.1.2
4013,R04070,forward,KEGG,,C03625 + C00001 => C02858 + C00069,C03625 + C00001,C02858 + C00069,0.0,0.0,0.0,
9290,R11709_v1,reverse,KEGG (Modified),"4Fe4S, Generic FeS",C21582 + C00001 + Z00063 + Z00002 => C20650 + Z00063 + Z00002,C21582 + C00001 + Z00063 + Z00002,C20650 + Z00063 + Z00002,0.0,0.0,0.0,
9289,R11709_v1,forward,KEGG (Modified),"4Fe4S, Generic FeS",C20650 + Z00063 + Z00002 => C21582 + C00001 + Z00063 + Z00002,C20650 + Z00063 + Z00002,C21582 + C00001 + Z00063 + Z00002,0.0,0.0,0.0,
4007,R04056,reverse,KEGG,,C00033 + C02801 => C03357 + C00001,C00033 + C02801,C03357 + C00001,0.0,0.0,0.0,
4006,R04056,forward,KEGG,,C03357 + C00001 => C00033 + C02801,C03357 + C00001,C00033 + C02801,0.0,0.0,0.0,
9274,R11694,reverse,KEGG,,C21599 + C00033 => C21590 + C00001,C21599 + C00033,C21590 + C00001,0.0,0.0,0.0,
9273,R11694,forward,KEGG,,C21590 + C00001 => C21599 + C00033,C21590 + C00001,C21599 + C00033,0.0,0.0,0.0,
9272,R11693,reverse,KEGG,,C20299 + C00033 => C21591 + C00001,C20299 + C00033,C21591 + C00001,0.0,0.0,0.0,
9271,R11693,forward,KEGG,,C21591 + C00001 => C20299 + C00033,C21591 + C00001,C20299 + C00033,0.0,0.0,0.0,
723,R00626_v1,forward,KEGG (Modified),"Fe, Mg",C01153 + C00001 + Z00029 + C01153 + C00001 + Z00015 => C00069 + C00009 + Z00029 + C00069 + C00009 + Z00015,C01153 + C00001 + Z00029 + C01153 + C00001 + Z00015,C00069 + C00009 + Z00029 + C00069 + C00009 + Z00015,0.0,0.0,0.0,
724,R00626_v2,forward,KEGG (Modified),Cu,C01153 + C00001 + Z00070 => C00069 + C00009 + Z00070,C01153 + C00001 + Z00070,C00069 + C00009 + Z00070,0.0,0.0,0.0,
725,R00626_v3,forward,KEGG (Modified),Mg,C01153 + C00001 + Z00029 => C00069 + C00009 + Z00029,C01153 + C00001 + Z00029,C00069 + C00009 + Z00029,0.0,0.0,0.0,
726,R00626_v4,forward,KEGG (Modified),Zn,C01153 + C00001 + Z00054 => C00069 + C00009 + Z00054,C01153 + C00001 + Z00054,C00069 + C00009 + Z00054,0.0,0.0,0.0,
732,R00636,forward,KEGG,,C00161 => C00071 + C00011,C00161,C00071 + C00011,0.0,0.0,0.0,4.1.1.1
733,R00636,forward,KEGG,,C00161 => C00071 + C00011,C00161,C00071 + C00011,0.0,0.0,0.0,4.1.1.1
734,R00636,reverse,KEGG,,C00071 + C00011 => C00161,C00071 + C00011,C00161,0.0,0.0,0.0,4.1.1.1
580,R00479_v1,reverse,KEGG (Modified),Mg,C00042 + C00048 + Z00029 => C00311 + Z00029,C00042 + C00048 + Z00029,C00311 + Z00029,0.0,0.0,0.0,4.1.3.1
579,R00479_v1,forward,KEGG (Modified),Mg,C00311 + Z00029 => C00042 + C00048 + Z00029,C00311 + Z00029,C00042 + C00048 + Z00029,0.0,0.0,0.0,4.1.3.1
578,R00479_v1,forward,KEGG (Modified),Mg,C00311 + Z00029 => C00042 + C00048 + Z00029,C00311 + Z00029,C00042 + C00048 + Z00029,0.0,0.0,0.0,4.1.3.1
9378,R11802_v1,forward,KEGG (Modified),Zn,C21682 + C00028 + Z00054 => C21683 + C00030 + Z00054,C21682 + C00028 + Z00054,C21683 + C00030 + Z00054,0.0,0.0,0.0,
9625,R12115,reverse,KEGG,,2C00030 + C21916 => 2C00028 + C21915,2C00030 + C21916,2C00028 + C21915,0.0,0.0,0.0,
9624,R12115,forward,KEGG,,2C00028 + C21915 => 2C00030 + C21916,2C00028 + C21915,2C00030 + C21916,0.0,0.0,0.0,
9581,R12094,forward,KEGG,,C20379 + C00080 => C20457 + C00001,C20379 + C00080,C20457 + C00001,0.0,0.0,0.0,
9579,R12091,reverse,KEGG,,C20409 + C00001 => C21897 + C00080,C20409 + C00001,C21897 + C00080,0.0,0.0,0.0,
9578,R12091,forward,KEGG,,C21897 + C00080 => C20409 + C00001,C21897 + C00080,C20409 + C00001,0.0,0.0,0.0,
502,R00412,forward,KEGG,,C00042 + C00028 => C00122 + C00030,C00042 + C00028,C00122 + C00030,0.0,0.0,0.0,1.3.99.-
9474,R11914,reverse,KEGG,,2C00030 + C21770 => 2C00001 + 2C00028 + C19798,2C00030 + C21770,2C00001 + 2C00028 + C19798,0.0,0.0,0.0,
9473,R11914,forward,KEGG,,2C00001 + 2C00028 + C19798 => 2C00030 + C21770,2C00001 + 2C00028 + C19798,2C00030 + C21770,0.0,0.0,0.0,
9472,R11913,reverse,KEGG,,C21768 + C00030 => C21766 + C00001 + C00028,C21768 + C00030,C21766 + C00001 + C00028,0.0,0.0,0.0,
9471,R11913,forward,KEGG,,C21766 + C00001 + C00028 => C21768 + C00030,C21766 + C00001 + C00028,C21768 + C00030,0.0,0.0,0.0,
4233,R04341,reverse,KEGG,,C03904 + C00014 => C03905 + C00001,C03904 + C00014,C03905 + C00001,0.0,0.0,0.0,
735,R00636,reverse,KEGG,,C00071 + C00011 => C00161,C00071 + C00011,C00161,0.0,0.0,0.0,4.1.1.1
4236,R04345_v1,forward,KEGG (Modified),Mn,C04625 + Z00030 => C03918 + Z00030,C04625 + Z00030,C03918 + Z00030,0.0,0.0,0.0,
4241,R04349,forward,KEGG,,2C00001 + C04178 => C03925 + C00014,2C00001 + C04178,C03925 + C00014,0.0,0.0,0.0,
4242,R04349,reverse,KEGG,,C03925 + C00014 => 2C00001 + C04178,C03925 + C00014,2C00001 + C04178,0.0,0.0,0.0,
4036,R04104_v1,reverse,KEGG (Modified),Mn,C01490 + Z00030 => C00401 + Z00030,C01490 + Z00030,C00401 + Z00030,0.0,0.0,0.0,
