,reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,ec_list
6992,R08826,forward,KEGG,,C08565 + C00007 + C08543 => C08543 + C00001 + C17753,C08565 + C00007 + C08543,C08543 + C00001 + C17753,67.0,68.0,67.5,
6880,R08679,reverse,KEGG,,C00045 + C00161 => C00045 + C00161,C00045 + C00161,C00045 + C00161,68.0,68.0,68.0,
3912,R03954_v1,reverse,KEGG (Modified),PLP,C05645 + Z00035 + C05645 + Z00035 => C02470 + C00001 + Z00035 + C02470 + C00001 + Z00035,C05645 + Z00035 + C05645 + Z00035,C02470 + C00001 + Z00035 + C02470 + C00001 + Z00035,68.0,68.0,68.0,
6879,R08679,forward,KEGG,,C00045 + C00161 => C00045 + C00161,C00045 + C00161,C00045 + C00161,68.0,68.0,68.0,
7356,R09462_v1,reverse,KEGG (Modified),"Heme, Ca",C19418 + C00069 + Z00025 + Z00055 => C00712 + C01025 + Z00025 + Z00055,C19418 + C00069 + Z00025 + Z00055,C00712 + C01025 + Z00025 + Z00055,56.0,80.0,68.0,
7,C11904_syn,forward,Manual,,C04217 + C21476 => C11904,C04217 + C21476,C11904,68.0,69.0,68.5,
8654,R10879,forward,KEGG,,C18846 + C00005 + C00007 + C00080 => C18845 + C00006 + C00001,C18846 + C00005 + C00007 + C00080,C18845 + C00006 + C00001,68.0,69.0,68.5,
4863,R05223_v1,reverse,KEGG (Modified),Mg,C06510 + C05775 + Z00029 => C00194 + C00144 + Z00029,C06510 + C05775 + Z00029,C00194 + C00144 + Z00029,68.0,69.0,68.5,
5381,R06256,forward,KEGG,,2C00080 + C05791 => C05790,2C00080 + C05791,C05790,68.0,69.0,68.5,
7672,R09753,forward,KEGG,,C00052 + C19763 => C00015 + C19865,C00052 + C19763,C00015 + C19865,68.0,69.0,68.5,
8652,R10877,forward,KEGG,,C18846 + C00005 + C00007 + C00080 => C18847 + C00006 + C00001,C18846 + C00005 + C00007 + C00080,C18847 + C00006 + C00001,68.0,69.0,68.5,
7673,R09754,reverse,KEGG,,C00015 + C08983 => C02199 + C19865,C00015 + C08983,C02199 + C19865,68.0,69.0,68.5,
8218,R10373,forward,KEGG,,C20530 + C00007 + C00005 + C00080 => C20536 + C00006 + C00001,C20530 + C00007 + C00005 + C00080,C20536 + C00006 + C00001,68.0,69.0,68.5,
8033,R10156,forward,KEGG,,C20403 + C00003 => C20400 + C00004 + C00080,C20403 + C00003,C20400 + C00004 + C00080,68.0,69.0,68.5,
3665,R03628_v1,forward,KEGG (Modified),"Ascorbate, Heme, THF (H4F)",C01598 + C00007 + Z00025 + Z00046 + Z00004 => C05642 + Z00025 + Z00046 + Z00004,C01598 + C00007 + Z00025 + Z00046 + Z00004,C05642 + Z00025 + Z00046 + Z00004,68.0,69.0,68.5,
8162,R10298,forward,KEGG,,C12137 + C01175 => C08725 + C00482,C12137 + C01175,C08725 + C00482,68.0,69.0,68.5,
6,C11903_syn,forward,Manual,,C04217 + C21476 => C11903,C04217 + C21476,C11903,68.0,69.0,68.5,
4739,R05041,forward,KEGG,,C05914 => C05915,C05914,C05915,68.0,69.0,68.5,
8331,R10491,forward,KEGG,,C00019 + C14155 => C00021 + C14153,C00019 + C14155,C00021 + C14153,68.0,69.0,68.5,
7677,R09758,forward,KEGG,,C00029 + C19867 => C00015 + C19868,C00029 + C19867,C00015 + C19868,68.0,69.0,68.5,
8157,R10290,forward,KEGG,,C12137 + C00190 => C20489 + C00015,C12137 + C00190,C20489 + C00015,68.0,69.0,68.5,
4651,R04905,forward,KEGG,,C00019 + C05635 => C00021 + C05660,C00019 + C05635,C00021 + C05660,68.0,69.0,68.5,
3783,R03780,forward,KEGG,,C00002 + C01946 => C00008 + C03796,C00002 + C01946,C00008 + C03796,68.0,69.0,68.5,
5417,R06363_v1,forward,KEGG (Modified),Zn,C00395 + C00001 + Z00054 => C06567 + Z00054,C00395 + C00001 + Z00054,C06567 + Z00054,68.0,69.0,68.5,
