reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,reaction_id,ec_list
RZ_304,forward,KEGG,,C00305 => Z00029,C00305,Z00029,0.0,0.0,0.0,RZ,
RZ_340,forward,KEGG,,C01330 => Z00033,C01330,Z00033,0.0,0.0,0.0,RZ,
RZ_341,forward,KEGG,,C19609 => Z00034,C19609,Z00034,0.0,0.0,0.0,RZ,
RZ_27,forward,KEGG,,C00175 => Z00006,C00175,Z00006,0.0,0.0,0.0,RZ,
R00636,reverse,KEGG,,C00071 + C00011 => C00161,C00071 + C00011,C00161,0.0,0.0,0.0,R00636,4.1.1.1
R00412,forward,KEGG,,C00042 + C00028 => C00122 + C00030,C00042 + C00028,C00122 + C00030,0.0,0.0,0.0,R00412,
R10092_v1,reverse,KEGG (Modified),Co,C00011 + C00001 + Z00006 => C00288 + C00080 + Z00006,C00011 + C00001 + Z00006,C00288 + C00080 + Z00006,0.0,0.0,0.0,R10092,4.2.1.1
R10092_v2,forward,KEGG (Modified),Zn,C00288 + C00080 + Z00054 => C00011 + C00001 + Z00054,C00288 + C00080 + Z00054,C00011 + C00001 + Z00054,0.0,0.0,0.0,R10092,4.2.1.1
R10092_v2,reverse,KEGG (Modified),Zn,C00011 + C00001 + Z00054 => C00288 + C00080 + Z00054,C00011 + C00001 + Z00054,C00288 + C00080 + Z00054,0.0,0.0,0.0,R10092,4.2.1.1
RZ_506,forward,KEGG,Fe,C00283 + Z00015 => Z00067,C00283 + Z00015,Z00067,0.0,0.0,0.0,RZ,
RZ_507,forward,KEGG,,C00070 => Z00069,C00070,Z00069,0.0,0.0,0.0,RZ,
RZ_508,forward,KEGG,,C00038 => Z00069,C00038,Z00069,0.0,0.0,0.0,RZ,
RZ_510,forward,KEGG,,C00305 => Z00069,C00305,Z00069,0.0,0.0,0.0,RZ,
RZ_511,forward,KEGG,,C14818 => Z00069,C14818,Z00069,0.0,0.0,0.0,RZ,
RZ_513,forward,KEGG,,C00175 => Z00069,C00175,Z00069,0.0,0.0,0.0,RZ,
R00132_v2,reverse,KEGG (Modified),Zn,C00011 + C00001 + Z00054 => C01353 + Z00054,C00011 + C00001 + Z00054,C01353 + Z00054,0.0,1.0,0.5,R00132,4.2.1.1
R00477,reverse,KEGG,,C00036 + C00048 => C01990,C00036 + C00048,C01990,0.0,1.0,0.5,R00477,4.1.3.13
R00008_v3,reverse,KEGG (Modified),Zn,2C00022 + Z00054 => C06033 + Z00054,2C00022 + Z00054,C06033 + Z00054,0.0,1.0,0.5,R00008,4.1.3.17
R00008_v2,reverse,KEGG (Modified),Mg,2C00022 + Z00029 => C06033 + Z00029,2C00022 + Z00029,C06033 + Z00029,0.0,1.0,0.5,R00008,4.1.3.17
R00008_v1,reverse,KEGG (Modified),M2,2C00022 + Z00069 => C06033 + Z00069,2C00022 + Z00069,C06033 + Z00069,0.0,1.0,0.5,R00008,4.1.3.17
